_id,jid,is_muted,unmute_timestamp,is_dirty
1,1100221212156_g@groups.kik.com,1,-1,0
2,1100210228311_g@groups.kik.com,1,-1,0
3,1100215822557_g@groups.kik.com,1,-1,0
4,1100223529027_g@groups.kik.com,1,-1,0
5,1100206771693_g@groups.kik.com,1,-1,0
6,1100214495219_g@groups.kik.com,1,-1,0
7,1100220499509_g@groups.kik.com,1,-1,0
8,1100213402891_g@groups.kik.com,1,-1,0
9,1100221329959_g@groups.kik.com,1,-1,0
10,1100217302163_g@groups.kik.com,1,-1,0
11,1100222263875_g@groups.kik.com,1,-1,0
12,1100223194900_g@groups.kik.com,1,-1,0
13,1100223835348_g@groups.kik.com,1,-1,0
14,deppressedphilip_rgw@talk.kik.com,1,-1,0
15,1100222650944_g@groups.kik.com,1,-1,0
16,1100213038829_g@groups.kik.com,1,-1,0
17,1100219396717_g@groups.kik.com,1,-1,0
18,1100219755807_g@groups.kik.com,1,-1,0
19,1100202020507_g@groups.kik.com,1,-1,0
20,,,,
