_id,group_id,member_jid,is_admin,is_banned,permission_level,is_dm_disabled
4,1100213090769_g@groups.kik.com,ajl983_05k@talk.kik.com,,0,BASIC,0
5,1100213090769_g@groups.kik.com,alphonse1236_nxf@talk.kik.com,,0,BASIC,0
6,1100213090769_g@groups.kik.com,eleanora44_2tc@talk.kik.com,,0,BASIC,0
9,1100217338797_g@groups.kik.com,00talhakhan_b2s@talk.kik.com,,0,BASIC,0
10,1100217338797_g@groups.kik.com,madinsta_dtu@talk.kik.com,,0,BASIC,0
13,1100217909955_g@groups.kik.com,prksa_rm0@talk.kik.com,,0,BASIC,0
14,1100218181357_g@groups.kik.com,clarkr62_gmc@talk.kik.com,,0,SUPER_ADMIN,0
43,1100214516799_g@groups.kik.com,agrawal.raman_nxk@talk.kik.com,,0,REGULAR_ADMIN,0
44,1100214516799_g@groups.kik.com,aiden_abedin07_eql@talk.kik.com,,0,REGULAR_ADMIN,0
45,1100214516799_g@groups.kik.com,akshayrejith_04e@talk.kik.com,,0,BASIC,0
46,1100214516799_g@groups.kik.com,ameen.fsaeed_c1w@talk.kik.com,,0,BASIC,0
47,1100214516799_g@groups.kik.com,callumcare_slade_g42@talk.kik.com,,0,BASIC,0
48,1100214516799_g@groups.kik.com,cxwholesale_z9z@talk.kik.com,,0,BASIC,0
49,1100214516799_g@groups.kik.com,dovbaddest_emj@talk.kik.com,,0,BASIC,0
50,1100214516799_g@groups.kik.com,edd_yo24_yhv@talk.kik.com,,0,BASIC,0
51,1100214516799_g@groups.kik.com,glitterkitten25_8yb@talk.kik.com,,0,BASIC,0
52,1100214516799_g@groups.kik.com,greatestblow_2hv@talk.kik.com,,0,SUPER_ADMIN,0
53,1100214516799_g@groups.kik.com,grim.reaper.bennett_b6r@talk.kik.com,,0,REGULAR_ADMIN,0
54,1100214516799_g@groups.kik.com,jaykumara143_s06@talk.kik.com,,0,BASIC,0
55,1100214516799_g@groups.kik.com,kreshnikf_q00@talk.kik.com,,0,BASIC,0
56,1100214516799_g@groups.kik.com,leftoverpizza_9ez@talk.kik.com,,0,BASIC,0
57,1100214516799_g@groups.kik.com,miguel_andnelybaby_srr@talk.kik.com,,0,REGULAR_ADMIN,0
58,1100214516799_g@groups.kik.com,nik936_5wj@talk.kik.com,,0,BASIC,0
59,1100214516799_g@groups.kik.com,olivernoxs_dz2@talk.kik.com,,0,BASIC,0
60,1100214516799_g@groups.kik.com,samirakoda_aar@talk.kik.com,,0,REGULAR_ADMIN,0
61,1100214516799_g@groups.kik.com,sensei_rafay_kpl@talk.kik.com,,0,BASIC,0
62,1100214516799_g@groups.kik.com,shawty_2258_wdg@talk.kik.com,,0,REGULAR_ADMIN,0
