_id,group_id,member_jid,is_admin,is_banned,permission_level,is_dm_disabled
6,1100254987904_g@groups.kik.com,d0mmed_nxm@talk.kik.com,,0,SUPER_ADMIN,0
7,1100255230572_g@groups.kik.com,heykadinwats_m1t@talk.kik.com,,0,BASIC,0
8,1100255230572_g@groups.kik.com,kolin71_6ux@talk.kik.com,,0,SUPER_ADMIN,0
9,1100255231478_g@groups.kik.com,illusionist671_beg@talk.kik.com,,0,REGULAR_ADMIN,0
10,1100255231478_g@groups.kik.com,thetgamer_69_89o@talk.kik.com,,0,REGULAR_ADMIN,0
23,1100254991574_g@groups.kik.com,pikaslutt_4xz@talk.kik.com,,0,BASIC,0
24,1100254991574_g@groups.kik.com,whiter_crane6806_b9x@talk.kik.com,,0,BASIC,0
25,1100255348578_g@groups.kik.com,thepdude_50k@talk.kik.com,,0,SUPER_ADMIN,0
26,1100255331466_g@groups.kik.com,icefrostaken_tqm@talk.kik.com,,0,BASIC,0
27,1100255331466_g@groups.kik.com,jasperwolfboy_yaw@talk.kik.com,,0,BASIC,0
28,1100255331466_g@groups.kik.com,vinyl224_syv@talk.kik.com,,0,SUPER_ADMIN,0
29,1100255386071_g@groups.kik.com,freddy6541_thj@talk.kik.com,,0,BASIC,0
30,1100255386071_g@groups.kik.com,thepdude_50k@talk.kik.com,,0,SUPER_ADMIN,0
31,1100254937880_g@groups.kik.com,davidmornibgstar_1n5@talk.kik.com,,0,SUPER_ADMIN,0
32,1100255368064_g@groups.kik.com,freddy6541_thj@talk.kik.com,,0,BASIC,0
33,1100255686502_g@groups.kik.com,amandaforeveralone1_yn2@talk.kik.com,,0,BASIC,0
34,1100255686502_g@groups.kik.com,lilprincessbec_8yv@talk.kik.com,,0,SUPER_ADMIN,0
42,1100255906051_g@groups.kik.com,pizzarocks1385_ez6@talk.kik.com,,0,REGULAR_ADMIN,0
43,1100255906051_g@groups.kik.com,stephaniestrange_cl1@talk.kik.com,,0,REGULAR_ADMIN,0
44,1100255771391_g@groups.kik.com,r4ndomf4ngirl_j3f@talk.kik.com,,0,BASIC,0
45,1100255771391_g@groups.kik.com,spartan_j_hasdrati_apm@talk.kik.com,,0,SUPER_ADMIN,0
46,1100255969061_g@groups.kik.com,rosellajade_r4z@talk.kik.com,,0,BASIC,0
47,1100255969061_g@groups.kik.com,smeagle666_prk@talk.kik.com,,0,SUPER_ADMIN,0
48,1100255955141_g@groups.kik.com,r4ndomf4ngirl_j3f@talk.kik.com,,0,SUPER_ADMIN,0
52,1100256119557_g@groups.kik.com,bunlee1223_5ds@talk.kik.com,,0,BASIC,0
53,1100256119557_g@groups.kik.com,smeagle666_prk@talk.kik.com,,0,SUPER_ADMIN,0
54,1100255969658_g@groups.kik.com,thepdude_50k@talk.kik.com,,0,BASIC,0
73,1100255644121_g@groups.kik.com,davidmornibgstar_1n5@talk.kik.com,,0,SUPER_ADMIN,0
74,1100255958958_g@groups.kik.com,navi_bot1192_gt7@talk.kik.com,,0,REGULAR_ADMIN,0
75,1100255958958_g@groups.kik.com,stephaniestrange_cl1@talk.kik.com,,0,BASIC,0
76,1100255958958_g@groups.kik.com,strawberrygirllrll_8gx@talk.kik.com,,0,BASIC,0
77,1100255958958_g@groups.kik.com,thepdude_50k@talk.kik.com,,0,REGULAR_ADMIN,0
78,1100256829680_g@groups.kik.com,ajcegledi800_gtc@talk.kik.com,,0,SUPER_ADMIN,0
79,1100256829680_g@groups.kik.com,cherrytreesandroses_4i3@talk.kik.com,,0,BASIC,0
80,1100256829680_g@groups.kik.com,duck_meh6_wfg@talk.kik.com,,0,REGULAR_ADMIN,0
81,1100256829680_g@groups.kik.com,project_rage136_9te@talk.kik.com,,0,REGULAR_ADMIN,0
82,1100256829680_g@groups.kik.com,strangealt_noc@talk.kik.com,,0,BASIC,0
